a, 工
tdg, 秙
tdg, 䄷
tdh, 逢
tdi, 夭
tdj, 乔
tdk, 知
tdn, 乱
tdp, 适
tdt, 敌
tdu, 矢
tdw, 箕
tdx, 笼
tdy, 㣕
teb, 笔
tee, 稻
teg, 租
teg, 䄴
tek, 甪
ten, 秏
ter, 务
ter, 竻
ter, 㣊
tfb, 缺
tfc, 丢
tfd, 壬
tfd, ⺧
tff, 竺
tff, 玍
tff, 䇞
tfh, 秆
tfi, 朱
tfj, 午
tfj, 竿
tfk, 千
tfl, 德
tfp, 迁
tfq, 先
tfs, 籍
tfu, 乖
tga, 笺
tgd, 生
tgg, 彺
tgh, 征
tgi, 失
tgj, 年
tgj, 夅
tgj, 䄵
tgk, 牛
tgl, 舞
tgm, 制
tgp, 迭
tgs, 行
tgu, 秤
tgy, 䄮
tha, 算
thd, 自
thf, 乍
thf, 䇛
thg, 片
thg, 䄳
thi, 处
thk, 咎
thl, 鼻
thn, 息
tht, 竹
tie, 稍
tig, 衍
tir, 箔
tis, 簿
tit, 秒
tiu, 尓
tjf, 香
tjg, 得
tjh, 利
tji, 䖝
tjs, 梨
tjt, 复
tkf, 各
tkf, 㕿
tkg, 和
tkh, 种
tkm, 禹
tkw, 积
tld, 血
tld, 甶
tlf, 备
tlf, 盉
tlf, 笽
tlj, 笚
tlk, 徊
tln, 惫
tlo, 粤
tlq, 囱
tlu, 衅
tmd, 射
tmf, 笛
tmg, 微
tmg, 秞
tmg, 㣙
tmh, 币
tmh, 秈
tmj, 屲
tmj, 㟀
tmk, 向
tmo, 奥
tmq, 秽
tmu, 筫
tnb, 乞
tne, 戶
tnf, 阜
tni, 乐
tnn, 乌
tnn, 䄫
tnp, 追
tnt, 秘
toc, 释
toi, 釆
tol, 番
tom, 釉
ton, 悉
tou, 夈
tov, 篓
toy, 秋
tpg, 稼
tpn, 管
tpu, 乏
tqb, 禿
tqd, 衡
tqg, 衔
tqi, 称
tqq, 移
tqt, 黎
tqv, 稳
tra, 箍
trd, 稀
trf, 循
trg, 䄸
tri, 穆
trn, 我
trt, 稗
tsf, 䇴
tsg, 笨
tsg, 徆
tsg, 䄽
tsh, 箱
tsh, 㣔
tsm, 策
tsu, 条
tsy, 秿
ttd, 笑
ttg, 御
ttg, 
ttt, 禾
tty, 秝
tue, 箭
tue, 乊
tuf, 笠
tuh, 徉
tui, 舟
tuj, 简
tuk, 税
tul, 盘
tum, 舰
tup, 舵
tur, 舶
tut, 艇
tuu, 冬
tuw, 船
tux, 乘
tuy, 航
tvd, 秉
tvf, 委
tvg, 律
tvr, 魏
tvt, 笋
tvy, 很
twa, 筏
twb, 秃
twc, 役
twd, 颓
twf, 符
twg, 徐
twi, 黍
twu, 秂
twv, 凢
twv, 処
twy, 稚
txd, 龜
txe, 篆
txh, 第
txi, 系
txt, 敏
txu, 每
tyf, 䇾
tyg, 往
tyi, 入
tyi, 乀
tym, 稿
tyn, 篇
tyr, 篱
tyt, 彷
tyt, 䄱
uad, 疘
uaf, 差
uag, 疟
uag, 冮
uai, 冻
uaj, 并
uaj, 竎
uap, 迸
uaw, 瘩
uay, 戕
uay, 䇅
ubd, 闻
ubd, 聞
ube, 疓
ubi, 疲
ubj, 兯
ubk, 疗
ubk, 疖
ubt, 塑
uca, 痉
uce, 痛
ucg, 冯
uck, 冶
ucn, 羓
ucv, 疤
ucw, 竣
udb, 郑
udd, 闫
udd, 閆
udd, 㽽
udd, 䦒
udf, 兰
udg, 减
udg, 㓈
udg, 䇉
udh, 痞
udi, 头
udj, 阉
udp, 送
udu, 关
udw, 凑
udy, 状
udy, 狀
ued, 閒
ued, 閰
ueg, 疽
ueh, 瘦
uej, 前
uek, 痈
uen, 竓
uen, 㲔
uep, 遂
uet, 劷
uet, 羏
ueu, 豙
ueu, 㒸
uev, 閐
uew, 毅
ufd, 疳
ufd, 㽵
ufd, 䦌
uff, 闺
ufg, 壮
ufg, 壯
ufh, 竍
ufi, 疛
ufk, 斗
ufk, 閈
ufk, 闬
uft, 闭
ufw, 凌
ufy, 装
ugb, 卷
ugd, 闰
ugd, 闩
ugd, 閂
ugd, 閏
uge, 靖
ugf, ⺷
ugg, 豢
ugh, 症
ugi, 
ugj, 养
ugk, 半
ugl, 盖
ugm, 病
ugr, 拳
ugu, 羡
ugv, 券
ugy, 誊
uhd, 㾇
uhf, 着
uhk, 丫
uhk, 䇂
uhx, 疵
uii, 閖
uii, 㽷
uit, 阔
uiy, 冰
ujd, 间
ujd, 間
uje, 彰
ujf, 音
uji, 闽
uji, 痋
uji, 閩
ujj, 章
ujl, 瘟
ujn, 意
ujq, 竟
ujt, 赣
ujv, 韶
ukb, 部
ukd, 问
ukd, 問
ukf, 咅
ukf, 㖖
ukh, 冲
ukj, 剖
ukk, 癌
ukn, 总
ukq, 竞
ulg, 兽
ulj, 曾
ulk, 闸
ulk, 閘
ulk, 閳
ulk, 㾝
umd, 端
umd, 㾄
umf, 凋
umi, 閴
umk, 疝
umk, 閊
ung, 翔
ung, 翊
unh, 羞
uni, 闷
uni, 悶
unn, 乵
unn, 䇃
unr, 疡
unv, 羌
unv, 㽶
unw, 决
uof, 並
uoi, 焛
uoi, 疢
uoj, 普
uoo, 痰
uqd, 奖
uqd, 㾣
uqd, 䦦
uqe, 阎
uqf, 将
uqg, 癣
uqg, 凎
uqi, 浆
uqm, 痪
uqs, 桨
uqv, 净
uqw, 次
uqy, 疚
urb, 郊
urc, 瓣
urh, 斨
urk, 䦐
urt, 效
uru, 交
usd, 閪
usg, 尊
ush, 㓅
usi, 闲
usi, 痡
usi, 閑
usk, 疔
usk, 閅
usl, 阑
usr, 新
usu, 亲
usy, 牀
utd, 疾
ute, 产
ute, 閁
uth, 首
utj, 痢
utk, 阁
utn, 疙
utu, 疼
uty, 䍩
uud, 閚
uud, 闁
uug, 竝
uuh, 牂
uuh, 辡
uuj, 阐
uuk, 痒
uuk, 㾕
uuu, 立
uvf, 妾
uvg, 妆
uvg, 妝
uvi, 痕
uvi, 䦘
uvj, 兼
uwa, 阀
uwb, 疮
uwc, 疫
uwe, 疹
uwg, 痊
uwi, 闪
uwi, 閃
uwj, 疥
uwl, 益
uwn, 竌
uwr, 疯
uwy, 冷
uwy, 閄
uxe, 背
uxh, 弟
uxl, 冀
uxn, 北
uxt, 凝
uxu, 辫
uxv, 疕
uxx, 兹
uxy, 䍭
uyd, 訚
uyd, 誾
uye, 閍
uyg, 冫
uyh, 门
uyi, 闵
uyi, 閔
uyl, 凛
uym, 闹
uyn, 阂
uyt, 羊
uyt, 丷
uyu, 辩
uyw, 瘁
vag, 妅
vah, 姬
vaq, 既
vbf, 㜽
vbg, 好
vbg, 㛅
vbh, 即
vbh, 邚
vbn, 她
vbt, 奶
vce, 努
vcg, 妈
vck, 始
vcn, 怒
vcn, 妑
vcu, 厹
vcy, 奴
vdf, 娠
vdg, 姑
vdg, 妬
vdu, 㚑
veg, 姐
veh, 嫂
ven, 㚪
vfc, 妓
vff, 垦
vfg, 姏
vfh, 奸
vfj, 卆
vfs, 媒
vft, 姥
vfu, 寻
vfy, 妹
vgk, 聿
vgp, 建
vgx, 姨
vgy, 妋
vhj, 肃
vhk, 肀
vii, 隶
vij, 剥
vip, 逮
vit, 妙
viu, 录
vjd, 旭
vjf, 旮
vjs, 巢
vkb, 邵
vke, 娟
vkf, 召
vkf, 叴
vkg, 如
vkn, 恕
vkp, 迢
vkx, 絮
vld, 姻
vlf, 甾
vlg, 㚼
vmg, 妯
vmh, 奾
vmj, 㞪
vmy, 㛝
vnb, 㐇
vng, 娜
vng, 㚶
vnh, 媚
vnn, 妃
vnt, 刀
vnu, 恳
vnu, 㣽
vnx, 妮
vot, 㚧
vou, 灵
vou, 災
vpe, 辺
vpg, 嫁
vpi, 退
vpj, 婶
vpm, 帚
vpq, 婉
vpv, 巡
vpv, 廵
vqa, 婚
vqi, 姚
vqk, 娩
vqu, 夛
vrg, 㚱
vrh, 妡
vsg, 㛉
vsh, 奵
vsk, 嫩
vsu, 杂
vtd, 妖
vte, 尹
vtf, 妊
vtg, 姓
vth, 媳
vtk, 君
vtn, 九
vtr, 娥
vty, 姀
vuh, 㛙
vut, 嫉
vuv, 嫌
vvf, 㚣
vvg, 妇
vvg, 奻
vvv, 女
vwi, 刅
vxy, 姆
vyd, 訄
vyg, 娮
vyi, 刃
vyi, 丸
vyi, 刄
vyn, 忍
vyt, 妨
vyu, 嫡
vyv, 娘
vyy, 妏
waf, 仝
wag, 仜
waj, 借
wat, 侥
waw, 供
way, 伐
wbb, 仓
wbg, 仔
wbg, 佴
wbh, 䢳
wbj, 创
wbn, 他
wbt, 仍
wby, 佊
wcd, 颂
wcg, 瓮
wci, 凤
wcn, 翁
wcu, 公
wcu, 殳
wcw, 俊
wcy, 仅
wcy, 仏
wda, 佐
wdg, 估
wdg, 仨
wdg, 佦
wdj, 佰
wdk, 佑
wdn, 优
wds, 倚
wdt, 做
wdu, 僚
wdw, 傣
wdy, 伏
wdy, 㐲
web, 俘
wef, 䏌
weg, 仴
weh, 佣
weq, 倪
wer, 㐱
wet, 仂
wfc, 会
wfd, 儒
wff, 佳
wfg, 仁
wfg, 仕
wfg, 佄
wfh, 什
wfh, 仠
wfi, 祭
wfj, 仐
wfj, 癷
wfk, 舍
wfn, 传
wft, 佬
wfy, 付
wfy, 佅
wgc, 倒
wgd, 癸
wge, 愈
wgf, 全
wgf, 亼
wgg, 伍
wgg, 仼
wgi, 剑
wgj, 便
wgk, 使
wgl, 僵
wgm, 债
wgq, 例
wgs, 余
wgu, 侠
wgy, 伕
whd, 凪
whf, 企
whg, 仩
whj, 个
whm, 侦
whn, 候
wht, 修
whw, 俱
why, 仆
wie, 俏
wim, 倘
wip, 偿
wiu, 氽
wiu, 尒
wiy, 仦
wiy, 㲻
wjg, 但
wjh, 伸
wjj, 介
wjm, 偶
wkf, 㕣
wkg, 㐰
wkh, 促
wkk, 侣
wks, 保
wlg, 佃
wlg, 伵
wlh, 伡
wlh, 俥
wll, 儡
wmg, 侗
wmg, 伷
wmh, 仙
wmj, 侧
wmj, 仚
wmw, 催
wnb, 倔
wng, 伺
wng, 佀
wnh, 假
wnk, 僻
wnn, 亿
wnn, 㐶
wnt, 侯
wnv, 亾
wny, 似
wny, 伈
woi, 㶡
wow, 俯
woy, 伙
woy, 侎
wqa, 低
wqb, 仰
wqb, 尣
wqf, 釡
wqi, 你
wqk, 像
wqq, 侈
wqy, 㐴
wrb, 爷
wrc, 爸
wrf, 釜
wrf, 㒶
wrg, 伯
wrh, 伒
wrh, 㐿
wri, 风
wrn, 㐹
wrq, 爹
wrr, 斧
wru, 父
wsf, 傅
wsg, 体
wsg, 価
wsh, 仃
wsi, 凩
wsj, 剁
wsk, 何
wss, 傈
wsu, 朵
wsy, 休
wsy, 俌
wtd, 侨
wte, 伤
wtf, 任
wtg, 件
wth, 亻
wtj, 俐
wtl, 傻
wtn, 几
wtr, 俄
wtx, 侮
wty, 八
wuf, 伞
wug, 位
wug, 們
wuh, 佯
wuk, 倍
wul, 僧
wun, 们
wuu, 仒
wvd, 颁
wvg, 健
wvg, 㚢
wvl, 盆
wvm, 贫
wvn, 仇
wvp, 侵
wvr, 分
wvt, 伊
wvy, 佷
wwb, 耸
wwf, 坐
wwg, 丛
wwj, 价
wwk, 谷
wwn, 仉
wwu, 仌
wwv, 份
www, 众
wwx, 伦
wwy, 从
wwy, 仈
wxb, 仑
wxd, 倾
wxf, 华
wxg, 僶
wxj, 佛
wxm, 货
wxn, 化
wxy, 㑄
wyc, 令
wye, 依
wyf, 储
wyf, 詧
wyg, 信
wyg, 隹
wyi, 凡
wyk, 售
wyn, 今
wyo, 焦
wyp, 停
wyr, 仪
wys, 集
wyt, 仿
wyu, 傍
wyu, 亽
wyv, 食
wyy, 伩
xad, 绒
xag, 红
xag, 紅
xan, 练
xat, 绕
xbg, 弭
xbg, 㝀
xbg, 䋙
xbg, 䌺
xbh, 鄳
xbn, 弛
xbn, 毑
xbn, 䊶
xby, 级
xby, 紴
xby, 㢰
xca, 经
xcc, 缀
xcg, 绎
xcn, 弝
xcn, 紦
xcy, 弘
xdg, 缄
xdl, 缅
xdm, 顷
xdt, 绑
xdy, 紎
xee, 绷
xeg, 组
xen, 䋃
xet, 幼
xet, 糼
xet, 絼
xeu, 彖
xev, 绥
xfg, 绀
xfg, 紺
xfh, 㢨
xfk, 结
xfn, 续
xft, 绪
xfy, 纣
xfy, 紂
xga, 线
xgb, 纯
xgd, 㢧
xgf, 弖
xgm, 绩
xgy, 䊿
xhg, 䊼
xhh, 引
xhj, 绰
xhk, 弔
xit, 纱
xiu, 糸
xiu, 彔
xiy, 㢼
xjf, 旨
xjh, 绅
xjj, 㔬
xjk, 弗
xjm, 费
xjt, 缆
xkb, 缉
xke, 绢
xkh, 紃
xkj, 强
xkw, 织
xlg, 细
xlg, 細
xmf, 绸
xmg, 紬
xmg, 䌷
xmh, 㢫
xmm, 缨
xmr, 纲
xmu, 贯
xmu, 貫
xmw, 纳
xng, 弓
xng, 䋚
xng, 䌻
xnh, 纠
xnn, 纪
xnn, 幻
xnn, 乣
xnn, 糺
xnn, 紀
xoj, 缠
xon, 继
xot, 纩
xov, 缕
xox, 粥
xoy, 䋛
xpf, 综
xpg, 绽
xpw, 缩
xqa, 纸
xqc, 绝
xqg, 䋮
xqi, 弥
xqj, 绚
xqy, 约
xrc, 弧
xrg, 絈
xrh, 紤
xrm, 绵
xry, 缴
xsf, 缚
xsg, 絤
xsh, 糽
xsy, 䊾
xsy, 䋠
xta, 张
xtb, 绣
xtd, 疑
xte, 乡
xtf, 纤
xth, 缎
xtk, 络
xtn, 匕
xts, 绦
xtu, 终
xug, 绊
xuh, 絴
xuh, 㢹
xuj, 弹
xur, 绞
xuu, 缮
xux, 弱
xvi, 绿
xvk, 绍
xvn, 䊵
xvt, 糿
xvt, 㓜
xvy, 纫
xwf, 绘
xwg, 给
xwv, 纷
xww, 纵
xwx, 纶
xwy, 维
xxe, 缘
xxf, 毕
xxg, 丝
xxg, 繩
xxn, 比
xxn, 弜
xxr, 皆
xyc, 统
xyn, 编
xyt, 纺
xyt, 紡
xyu, 缔
xyx, 弦
xyy, 纹
xyy, 紋
yaa, 诫
yad, 诺
yag, 讧
yag, 訌
yah, 讶
yak, 谨
yan, 谍
yaw, 诬
yay, 谎
ybb, 郭
ybf, 享
ybf, 斈
ybf, 斊
ybg, 誀
ybh, 邡
ybj, 亨
ybk, 㓙
ybn, 訑
ybo, 烹
ybt, 敦
ybt, 䚮
ybv, 熟
yby, 詖
yby, 诐
yca, 弃
yce, 育
ycg, 译
ycq, 充
ydg, 诂
ydg, 詁
ydm, 斋
ydn, 诚
ydy, 䛋
yee, 彣
yeg, 诅
yeg, 䚴
yem, 赢
yen, 䚽
yet, 谣
yet, 䚲
yeu, 衣
yeu, 哀
yey, 为
yff, 诗
yfg, 詌
yfh, 计
yfh, 讦
yfh, 計
yfh, 訐
yfj, 讲
yfn, 读
yfs, 谋
yft, 诸
yfy, 讨
yfy, 対
yfy, 討
yga, 斌
ygd, 主
yge, 请
ygh, 证
ygj, 㪯
ygk, 语
ygu, 评
yhd, 诽
yhg, 让
yhg, 訨
yhu, 卞
yhy, 讣
yhy, 訃
yid, 就
yii, 氷
yiu, 京
yiy, 䚱
yjf, 亯
yjf, 斉
yjf, 齊
yjh, 刘
yjh, 䚯
yjj, 齐
yjj, 亣
yjl, 谩
yjs, 课
yju, 蚉
ykf, 吝
ykg, 误
ykh, 训
ykh, 訓
ykk, 襄
ykw, 识
yle, 谓
ylf, 亩
ylf, 畗
ylg, 訵
ylh, 䛅
ylk, 颤
ymf, 调
ymg, 䛆
ymh, 讪
ymh, 訕
ymk, 高
ynb, 㐎
ynb, 㐔
yne, 户
ynf, 讯
yng, 诩
yng, 詡
ynh, 盲
yni, 永
ynk, 启
ynm, 遍
ynn, 记
ynn, 記
ynt, 刻
ynu, 忞
ynu, 悥
ynv, 亡
ynw, 雇
yny, 房
yny, 訫
yob, 孪
yoc, 变
yoj, 蛮
yom, 峦
yon, 恋
yoo, 谈
yop, 迹
yor, 挛
you, 亦
you, 㪰
yox, 弯
yoy, 詸
ypd, 這
ype, 毫
ype, 䢍
ypg, 豪
ypi, 这
ypk, 膏
yps, 亭
ypt, 诧
ypw, 亮
yqd, 诡
yqj, 询
yqk, 谗
yqv, 诌
yrb, 离
yrh, 訢
yrh, 䜣
yri, 义
yry, 诉
ysh, 订
ysh, 訂
ysj, 谭
ysy, 誧
ytb, 施
ytd, 话
yte, 旅
ytf, 许
yth, 诞
ytm, 谢
ytn, 讫
ytt, 族
ytx, 诲
yty, 放
yty, 訸
yty, 䚺
yuh, 详
yuh, 詳
yuh, 䛨
yuk, 说
yum, 商
yuo, 谱
yup, 旁
yus, 谰
yut, 谚
yuv, 谦
yvb, 郎
yve, 朗
yvi, 良
yvn, 訅
yvy, 詪
ywb, 亢
ywc, 设
ywe, 诊
ywk, 褒
ywn, 讥
ywr, 讽
ywt, 夜
yww, 卒
ywx, 论
ywy, 认
ywy, 㫃
yxg, 譝
yxi, 紊
yxj, 诣
yxl, 畜
yxn, 䚰
yxt, 雍
yxu, 玄
yxx, 谐
yyb, 谆
yyg, 亠
yyg, 誩
yyi, 谅
yyn, 讠
yyr, 议
yyt, 访
yyt, 訪
yyu, 谤
yyy, 言
