a, 工
smu, 賈
smy, 梖
snb, 朰
snb, 㐉
sng, 栩
snh, 楣
sni, 樨
snn, 札
snn, 杞
snr, 杨
sny, 杺
sof, 桩
sou, 杰
sou, 粟
sou, 䙳
sov, 楼
spd, 廼
spd, 迺
spf, 棕
sph, 棺
spq, 枕
sps, 柠
spv, 桉
spw, 榷
sqc, 构
sqd, 桅
sqi, 桃
sqk, 橡
sqt, 柳
sqy, 榴
src, 板
srg, 柏
srh, 析
srh, 杽
sri, 株
srm, 棉
srq, 槐
srr, 攀
sry, 檄
ssb, 郴
sse, 彬
ssf, 禁
ssg, 栖
ssh, 朾
ssk, 柯
ssn, 楚
sso, 焚
ssq, 梦
sss, 森
ssu, 栗
ssv, 婪
ssy, 林
std, 桥
stf, 橇
sth, 柞
stk, 格
stm, 榭
sto, 楸
stt, 覆
stu, 䅇
stx, 梅
sty, 枚
sty, 柇
sud, 栏
sug, 样
sug, 柆
sug, 椚
suj, 樟
sux, 梯
svc, 概
sve, 根
svf, 要
svn, 朹
svt, 朷
swb, 枪
swc, 松
swg, 检
swn, 机
swr, 枫
swx, 桦
swy, 椎
swy, 朲
swy, 朳
sxg, 椽
sxn, 朼
sxn, 杛
sxx, 楷
sxy, 栂
sxy, 㭃
syc, 梳
syg, 柱
syi, 术
syk, 槁
syl, 檀
sym, 柿
syn, 核
syp, 述
syt, 枋
syu, 榜
syv, 榔
syw, 校
tad, 箕
taf, 笁
tag, 筐
tak, 升
tam, 簧
tau, 䇝
tav, 乇
taw, 筑
tay, 长
tay, 牫
tbb, 竾
tbb, 㐌
tbf, 季
tbf, 䇯
tbg, 秄
tbh, 䄦
tbn, 彵
tbn, 牠
tbn, 䄬
tbp, 透
tbr, 秀
tbt, 䄧
tca, 径
tcb, 笆
tcg, 笃
tck, 笞
tcn, 㸭
tcu, 么
tcy, 私
tda, 甜
tdd, 舌
tdf, 䇢
tdg, 牯
tdg, 秙
tdg, 䄷
tdh, 逢
tdi, 夭
tdj, 乔
tdk, 智
tdn, 乱
tdp, 适
tdq, 舐
tdt, 敌
tdu, 矢
tdw, 雉
tdx, 笼
tdy, 㣕
tee, 稻
teg, 租
teg, 䄴
tei, 舟
tek, 笳
tel, 盘
tem, 舰
tep, 舵
ter, 务
ter, 竻
ter, 㣊
tet, 艇
tet, 牞
tew, 般
tey, 航
tfa, 垂
tfc, 丢
tfd, 壬
tfd, ⺧
tff, 竺
tff, 玍
tfg, 牡
tfh, 秆
tfh, 㸩
tfj, 午
tfj, 竿
tfk, 千
tfl, 德
tfn, 毛
tfp, 廷
tfq, 先
tfu, 乖
tfx, 笺
tgd, 生
tgf, 竽
tgg, 彺
tgh, 征
tgj, 重
tgk, 牛
tgl, 熏
tgm, 策
tgs, 行
tgu, 秤
tgv, 秉
tha, 算
thc, 彼
thd, 自
thf, 怎
thf, 䇛
thg, 片
thg, 䄳
thh, 徙
thi, 处
thj, 昝
thk, 咎
thl, 鼻
thn, 息
thp, 延
tht, 竹
tie, 稍
tig, 簿
tim, 徜
tir, 箔
tit, 秒
tiu, 尓
tjf, 香
tjg, 得
tjh, 利
tjs, 梨
tjt, 复
tju, 䖝
tkf, 各
tkf, 㕿
tkg, 和
tkh, 种
tkh, 㸪
tkm, 禹
tkw, 积
tld, 血
tld, 甶
tlf, 备
tlf, 盉
tlf, 笽
tlg, 牭
tlj, 笚
tlk, 徊
tln, 惫
tlo, 粤
tlq, 箩
tlu, 衅
tlw, 稷
tmd, 身
tmf, 笛
tmg, 微
tmg, 牰
tmg, 秞
tmg, 㣙
tmh, 币
tmh, 秈
tmj, 屲
tmj, 㟀
tmk, 向
tmo, 奥
tmq, 秽
tmu, 筫
tmy, 㸽
tnb, 乞
tni, 乐
tnn, 筷
tnn, 䄫
tnp, 迄
tnt, 秘
toc, 释
toi, 釆
tol, 翻
tom, 釉
ton, 愁
tou, 夈
tov, 篓
toy, 秋
tpg, 稼
tph, 管
tpu, 乏
tqb, 禿
tqd, 衡
tqg, 衔
tqi, 称
tqj, 徇
tqq, 移
tqr, 物
tqt, 黎
tqv, 稳
tra, 箍
trd, 稀
trf, 循
trg, 徨
trg, 䄸
trh, 御
trh, 㸫
tri, 穆
trt, 稗
trw, 秩
trx, 我
try, 徼
tsf, 䇴
tsg, 牺
tsg, 徆
tsg, 䄽
tsh, 箱
tsh, 㣔
tsu, 条
ttd, 笑
ttf, 笔
ttg, 牲
ttg, 
ttj, 稪
ttt, 禾
tty, 牧
tty, 秝
tue, 箭
tuf, 笠
tuj, 简
tuk, 税
tur, 乊
tuu, 冬
tux, 乘
tve, 很
tvf, 委
tvg, 律
tvp, 逶
tvr, 魏
tvt, 笋
twa, 筏
twb, 秃
twc, 役
twd, 颓
twf, 符
twg, 徐
twi, 黏
twu, 秂
twv, 凢
twv, 処
twy, 稚
txd, 龜
txg, 篆
txh, 第
txi, 系
txn, 牝
txt, 繁
txu, 每
txy, 牳
tyf, 䇾
tyg, 往
tyi, 入
tyk, 稿
tyn, 篇
tyo, 籴
tyr, 篱
tyt, 彷
tyt, 牥
tyt, 䄱
uad, 疘
uag, 瓶
uag, 冮
uai, 冻
uaj, 并
uaj, 竎
uap, 迸
uaw, 瘩
uay, 䇅
ubd, 闻
ubd, 聞
ube, 疓
ubj, 兯
ubk, 疗
ubk, 疖
ubq, 瘾
ubt, 塑
uca, 痉
uce, 痛
ucg, 冯
uck, 冶
ucv, 疤
ucw, 瘫
udb, 卷
udd, 闫
udd, 閆
udd, 㽽
udd, 䦒
udf, 兰
udg, 减
udg, 㓈
udg, 䇉
udh, 眷
udi, 头
udi, 
udj, 阉
udn, 疣
udp, 送
udr, 拳
udu, 关
udv, 券
udw, 凑
udx, 辫
udy, 状
ued, 閒
ued, 閰
ueg, 疽
ueh, 瘦
uej, 前
uek, 瘸
uep, 遂
ueu, 豙
ueu, 㒸
uew, 毅
ufc, 阖
ufd, 㽵
ufd, 䦌
uff, 闺
ufg, 壮
ufh, 癫
ufh, 竍
ufi, 疛
ufj, 辛
ufk, 斗
ufk, 閈
ufk, 闬
ufq, 羌
uft, 闭
ufw, 养
ufy, 装
uga, 差
ugd, 闰
ugd, 闩
ugd, 閂
ugd, 閏
uge, 靖
ugf, ⺷
ugh, 症
ugj, 羊
ugk, 半
ugl, 盖
ugm, 病
ugn, 羞
ugo, 羹
ugq, 冽
ugr, 叛
ugr, ⺶
ugu, 善
ugu, 羡
ugv, 姜
ugw, 羚
uhc, 疲
uhd, 㾇
uhk, 丫
uhk, 䇂
uhx, 疵
uii, 閖
uii, 㽷
uit, 阔
uiy, 冰
ujd, 间
ujd, 間
ujf, 音
uji, 闽
uji, 痋
uji, 閩
ujl, 瘟
ujn, 意
ujq, 竟
ujv, 韶
ukb, 部
ukd, 问
ukd, 問
ukf, 咅
ukh, 冲
ukj, 剖
ukk, 癌
ukn, 总
ukq, 况
ulb, 郸
uld, 痼
ulg, 兽
ulj, 单
ulk, 闸
ulk, 閘
ulk, 閳
ulk, 㾝
umd, 端
umd, 㾄
umf, 凋
umi, 弊
umi, 閴
umk, 疝
umk, 閊
ung, 翊
uni, 闷
uni, 悶
unk, 癖
unn, 䇃
unr, 疡
unv, 㽶
unw, 决
uog, 普
uoi, 焛
uoi, 疢
uoo, 痰
uov, 瘘
uqd, 奖
uqd, 㾣
uqd, 䦦
uqe, 阎
uqf, 将
uqg, 癣
uqg, 凎
uqi, 浆
uqm, 痪
uqs, 酱
uqv, 净
uqw, 资
uqy, 瘤
urk, 䦐
usd, 閪
usg, 尊
ush, 㓅
usi, 闲
usi, 閑
usk, 疔
usk, 閅
usr, 新
usu, 亲
utd, 疾
ute, 产
ute, 閁
uth, 首
utj, 痢
utk, 阁
utn, 疙
utu, 疼
uud, 閚
uud, 闁
uug, 痒
uug, 竝
uuj, 瘴
uuk, 阅
uul, 阐
uuu, 立
uve, 痕
uvf, 妾
uvg, 妆
uvo, 歉
uwa, 阀
uwb, 疮
uwc, 疫
uwe, 疹
uwg, 痊
uwi, 闪
uwi, 閃
uwj, 疥
uwl, 益
uwn, 竌
uwr, 疯
uwy, 冷
uwy, 閄
uxe, 背
uxh, 弟
uxl, 冀
uxn, 北
uxt, 凝
uxv, 疕
uxx, 兹
uyd, 訚
uyd, 誾
uye, 閍
uyg, 冫
uyh, 门
uyi, 闵
uyi, 閔
uyk, 凉
uyl, 凛
uym, 闹
uyn, 阂
uyt, 丷
uyw, 瘁
vaf, 媒
vag, 妅
vah, 姬
vam, 媾
var, 妪
vbf, 㜽
vbg, 好
vbg, 㛅
vbh, 邚
vbn, 她
vbt, 奶
vca, 既
vcb, 即
vce, 努
vcg, 妈
vck, 始
vcn, 怒
vcn, 妑
vcu, 厹
vcx, 弩
vcy, 奴
vdf, 娠
vdg, 姑
vdg, 妬
vdu, 㚑
vef, 垦
veg, 姐
veh, 嫂
vei, 艮
ven, 恳
vep, 退
vfc, 妓
vff, 娃
vfh, 奸
vfi, 妹
vfj, 卆
vfk, 嬉
vfq, 妩
vft, 姥
vfu, 寻
vga, 妍
vge, 婊
vgh, 嫣
vgk, 聿
vgo, 娅
vgp, 建
vgx, 姨
vhk, 肀
vii, 隶
vij, 肃
vip, 逮
vit, 妙
viu, 录
vjd, 旭
vjf, 旮
vjj, 娼
vjs, 巢
vkb, 邵
vke, 娟
vkf, 召
vkf, 叴
vkg, 如
vkn, 恕
vkp, 迢
vkx, 絮
vld, 姻
vlf, 甾
vlg, 㚼
vmg, 妯
vmh, 奾
vmj, 㞪
vmm, 姗
vmy, 㛝
vnb, 㐇
vng, 娜
vnh, 婿
vnn, 妃
vnt, 刀
vnu, 㣽
vnx, 妮
vot, 㚧
vou, 灵
vou, 災
vpe, 辺
vpg, 嫁
vpj, 婶
vpm, 帚
vpq, 婉
vpv, 巡
vpv, 廵
vqa, 婚
vqi, 姚
vqk, 娩
vqu, 夛
vqy, 鸠
vrh, 妡
vrt, 婢
vsf, 嫖
vsg, 㛉
vsh, 奵
vsu, 杂
vtd, 娇
vte, 尹
vtf, 妊
vtg, 姓
vth, 媳
vtk, 群
vtl, 媲
vtn, 九
vtr, 娥
vty, 姀
vul, 婵
vus, 娴
vut, 嫉
vuv, 嫌
vux, 娣
vvf, 㚣
vvg, 妇
vvg, 奻
vvv, 女
vwi, 刅
vxy, 姆
vyd, 訄
vyg, 娮
vyi, 刃
vyi, 丸
vyi, 刄
vyk, 婷
vyn, 忍
vyt, 妨
vyu, 嫡
vyv, 娘
vyw, 姣
vyy, 妏
waf, 仝
wag, 仜
waj, 借
waq, 儆
wat, 侥
waw, 供
way, 伐
wbb, 仓
wbg, 仔
wbg, 佴
wbh, 䢳
wbj, 创
wbn, 他
wbt, 仍
wcd, 颂
wce, 俑
wcg, 瓮
wci, 凤
wcn, 翁
wct, 俟
wcu, 公
wcu, 殳
wcw, 俊
wcy, 仅
wcy, 仏
wda, 佐
wdg, 估
wdg, 仨
wdg, 佦
wdj, 俺
wdk, 佑
wdn, 优
wds, 倚
wdt, 做
wdu, 僚
wdw, 段
wdy, 伏
wdy, 㐲
web, 俘
wef, 䏌
weg, 仴
weh, 佣
wek, 伽
weq, 倪
wer, 㐱
wet, 仂
wfc, 会
wfd, 儒
wff, 佳
wfg, 仁
wfg, 仕
wfh, 什
wfh, 仠
wfi, 祭
wfj, 仐
wfj, 癷
wfk, 舍
wfn, 传
wft, 佬
wfy, 付
wgc, 倒
wgd, 癸
wge, 傅
wgf, 全
wgf, 亼
wgg, 伍
wgg, 仼
wgi, 剑
wgj, 便
wgk, 合
wgl, 僵
wgm, 俩
wgo, 俨
wgq, 例
wgs, 余
wgu, 侠
whd, 凪
whf, 企
whj, 个
whm, 侦
whn, 候
wht, 修
whw, 俱
why, 仆
wie, 俏
wim, 倘
wip, 偿
wiu, 氽
wiu, 尒
wiy, 仦
wiy, 㲻
wjf, 俚
wjg, 但
wjh, 伸
wjj, 介
wjm, 偶
wkf, 㕣
wkg, 㐰
wkh, 促
wkk, 侣
wks, 保
wlg, 佃
wlg, 伵
wlh, 伡
wlh, 俥
wll, 儡
wmf, 倜
wmg, 侗
wmg, 伷
wmh, 仙
wmj, 侧
wmj, 仚
wmw, 催
wnb, 倔
wng, 伺
wnh, 假
wnk, 僻
wnn, 亿
wnn, 㐶
wnt, 侯
wnu, 偋
wnv, 亾
wny, 似
wny, 伈
woi, 㶡
wow, 俯
woy, 伙
woy, 侎
wpe, 侬
wqa, 低
wqb, 仰
wqb, 尣
wqf, 釡
wqi, 你
wqk, 像
wqq, 侈
wqy, 㐴
wrb, 爷
wrc, 爸
wrf, 釜
wrf, 㒶
wrg, 伯
wrh, 伒
wrh, 㐿
wri, 风
wrq, 爹
wrr, 斧
wrt, 俾
wru, 父
wsg, 体
wsg, 価
wsh, 仃
wsi, 凩
wsj, 剁
wsk, 何
wss, 傈
wsu, 朵
wsy, 休
wtd, 侨
wte, 伤
wtf, 任
wtg, 件
wth, 作
wth, 亻
wtj, 俐
wtl, 傻
wtn, 几
wtr, 俄
wtx, 侮
wty, 八
wud, 倦
wuf, 伞
wug, 位
wug, 們
wuk, 倍
wul, 僧
wun, 们
wuu, 仒
wvd, 颁
wvg, 健
wvg, 㚢
wvl, 盆
wvm, 贫
wvn, 仇
wvp, 侵
wvr, 分
wvt, 伊
wwb, 耸
wwf, 坐
wwg, 丛
wwj, 价
wwk, 谷
wwn, 仉
wwu, 仌
wwv, 份
www, 众
wwx, 伦
wwy, 从
wwy, 仈
wxb, 仑
wxd, 倾
wxf, 华
wxg, 僶
wxj, 佛
wxm, 货
wxn, 化
wxx, 偕
wxy, 㑄
wyc, 令
wye, 依
wyf, 储
wyf, 詧
wyg, 信
wyg, 隹
wyi, 凡
wyk, 停
wyn, 今
wyo, 焦
wyr, 仪
wys, 集
wyt, 仿
wyu, 傍
wyu, 亽
wyu, 飠
wyv, 食
wyy, 伩
xad, 绒
xag, 红
xag, 紅
xan, 练
xat, 绕
xbg, 弭
xbg, 㝀
xbg, 䋙
xbg, 䌺
xbh, 鄳
xbm, 绌
xbn, 弛
xbn, 毑
xbn, 䊶
xby, 级
xca, 经
xcc, 缀
xcg, 绎
xcn, 弝
xcn, 紦
xcy, 弘
xdd, 毋
xdg, 缄
xdj, 弼
xdm, 顷
xds, 绮
xdt, 绑
xdu, 缭
xee, 绷
xeg, 组
xep, 绶
xet, 幼
xet, 糼
xet, 絼
xev, 绥
xfd, 毌
xfg, 疆
xfh, 缜
xfh, 㢨
xfk, 结
xfm, 贯
xfn, 续
xft, 绪
xfx, 线
xfy, 纣
xfy, 紂
xgb, 纯
xgd, 彑
xgd, 㢧
xge, 缚
xgf, 弖
xgm, 绩
xgo, 彝
xhd, 绯
xhg, 䊼
xhh, 引
xhi, 缈
xhj, 绰
xhk, 弔
xit, 纱
xiu, 糸
xjf, 旨
xjh, 绅
xjk, 弗
xjm, 费
xjt, 缆
xkb, 缉
xke, 绢
xkh, 紃
xkj, 绳
xkw, 织
xlg, 细
xlg, 細
xmf, 绸
xmg, 紬
xmg, 䌷
xmh, 㢫
xmm, 缨
xmr, 纲
xmw, 纳
xng, 弓
xng, 䋚
xng, 䌻
xnh, 纠
xnn, 纪
xnn, 幻
xnn, 乣
xnn, 糺
xnn, 紀
xnw, 缪
xoj, 缠
xon, 继
xot, 纩
xov, 缕
xox, 粥
xoy, 䋛
xpf, 综
xpg, 绽
xpr, 缤
xpw, 缩
xqa, 纸
xqc, 绝
xqg, 䋮
xqi, 弥
xqj, 绚
xqv, 绉
xqy, 约
xrc, 弧
xrg, 絈
xrh, 紤
xrm, 绵
xry, 缴
xsg, 絤
xsh, 糽
xsy, 䊾
xta, 张
xtb, 绣
xtd, 疑
xte, 乡
xtf, 纤
xtk, 络
xtn, 匕
xts, 绦
xtu, 终
xug, 绊
xul, 弹
xux, 弱
xvi, 绿
xvj, 缫
xvk, 绍
xvn, 䊵
xvt, 糿
xvt, 㓜
xvy, 纫
xwd, 缎
xwf, 绘
xwg, 给
xwv, 纷
xww, 纵
xwx, 纶
xwy, 维
xxf, 毕
xxg, 丝
xxg, 繩
xxn, 比
xxn, 弜
xxr, 皆
xyc, 统
xyn, 编
xyt, 纺
xyt, 紡
xyu, 缔
xyw, 绞
xyx, 弦
xyy, 纹
xyy, 紋
yaa, 试
yaa, 诫
yad, 诺
yaf, 谋
yag, 讧
yag, 訌
yah, 讶
yaj, 谟
yak, 谨
yan, 谍
yaw, 诬
yay, 谎
ybf, 斈
ybf, 斊
ybg, 誀
ybh, 邡
ybk, 㓙
ybn, 訑
ybt, 䚮
yca, 弃
yce, 育
ycg, 译
yck, 诒
ycn, 谲
ycq, 充
ydg, 诂
ydg, 詁
ydm, 斋
ydn, 诚
ydo, 诙
yee, 彣
yeg, 诅
yeg, 䚴
yem, 裔
yer, 谣
yet, 䚲
yeu, 衣
yew, 谀
yff, 诗
yfh, 计
yfh, 讦
yfh, 計
yfh, 訐
yfj, 讲
yfk, 诘
yfn, 读
yft, 诸
yfy, 讨
yfy, 対
yfy, 討
ygd, 主
yge, 请
ygh, 证
ygj, 㪯
ygk, 语
ygl, 谏
ygu, 评
yha, 谑
yhd, 诽
yhg, 让
yhg, 訨
yhu, 卞
yhy, 讣
yhy, 訃
yii, 氷
yiy, 䚱
yjf, 斉
yjh, 刘
yjh, 䚯
yjj, 齐
yjj, 亣
yjl, 谩
yjq, 谒
yjs, 课
yju, 蚉
ykb, 郭
yke, 哀
ykf, 吝
ykg, 误
ykh, 训
ykh, 訓
yki, 京
ykk, 襄
ykm, 高
ykp, 亮
ykw, 识
yle, 谓
ylf, 亩
ylg, 訵
ylh, 䛅
ylk, 颤
ymf, 调
ymg, 䛆
ymh, 讪
ymh, 訕
ymw, 讷
ynb, 㐎
yne, 户
ynf, 讯
yng, 诩
yng, 詡
ynh, 盲
yni, 永
ynk, 启
ynm, 遍
ynn, 记
ynn, 記
ynt, 刻
ynu, 忞
ynu, 悥
ynv, 亡
ynw, 雇
yny, 房
yny, 訫
yob, 孪
yoc, 变
yoj, 蛮
yom, 峦
yon, 恋
yoo, 谈
yop, 迹
yoq, 銮
yor, 挛
you, 亦
you, 㪰
yox, 弯
yoy, 詸
ypd, 這
ype, 谊
ype, 䢍
ypi, 这
ypl, 诨
ypt, 诧
yqa, 诋
yqd, 诡
yqe, 谄
yqj, 询
yqk, 谗
yqv, 诌
yrb, 离
yrh, 訢
yrh, 䜣
yri, 义
yrv, 亵
yry, 诉
ysh, 订
ysh, 訂
ysj, 谭
ysk, 诃
yta, 旗
ytb, 施
ytd, 话
yte, 旅
ytf, 许
yth, 诞
ytm, 谢
ytn, 旋
ytt, 族
ytv, 诿
ytx, 诲
yty, 放
yty, 訸
yty, 䚺
yug, 详
yuk, 说
yum, 商
yuo, 谱
yup, 帝
yut, 谚
yuv, 谦
yuw, 谥
yvc, 朗
yve, 良
yvk, 诏
yvn, 訅
ywb, 亢
ywc, 设
ywe, 诊
ywn, 讥
ywr, 交
ywt, 夜
ywu, 六
yww, 卒
ywx, 论
ywy, 认
ywy, 㫃
yxg, 譝
yxi, 率
yxj, 诣
yxl, 畜
yxn, 䚰
yxt, 雍
yxu, 玄
yxx, 谐
yyg, 文
yyg, 亠
yyg, 誩
yyk, 谅
yyn, 该
yyn, 讠
yyr, 议
yyt, 访
yyt, 訪
yyu, 谤
yyy, 言
