a	art.一，一个，任何一个;同一的;像…的;某一个 pre.每;n英文字母第一个
preconcert	v.预先协定;预先商洽
precondition	n先决条件;v.事先具备条件;事先训练
preconize	v.公开宣言;指名召见;公布任命
preconscious	adj.前意识的
precursor	n先驱者;前导;先进者
precursory	adj.先驱的;前兆的;作预备的
precut	v.按规格裁切
predator	n掠夺者;食肉动物
predatory	adj.掠夺的;进行掠夺的;捕食生物的
predecease	n之前死
predecessor	n前任;先辈;以前的东西
predefine	v.预先定义
predestinarian	n命运注定论的信徒;adj.命运注定的
predestine	v.注定;注定
predeterminate	adj.先定的;注定的
predetermination	n预定;先决
predetermine	v.预定;先决;预先决定做…
predicability	n可断定;可断定为…的属性
predicable	n可断定者;属性;宾位语;adj.可断定的;可断定为…的属性的
predicably	adv.可断定地
predicament	n状态;穷境;困局
predicate	n述语;adj.述语的;v.断定为;意味
predication	n断定;立言;述词
predicative	n述词;叙述语;adj.断定性的;述词的;叙述的
predict	v.预知;预言;预报
predictability	n可预测性;adj.可预言
predictable	adj.可预期的;可预言的
prediction	n预言;预报
predictive	adj.预言性的;成为前兆的
predictor	n预言者;高射描准计算器
predigest	v.调理容易消化
predigestion	n调理成容易消化
predilection	n嗜好;偏爱;袒护
predispose	v.使易罹患;使偏向於
predisposition	n易患病的体质
predissociation	n预分离
predistortion	n预失真
predominance	n卓越;优势;控制
predominant	adj.优越的;卓越的;有力的
predominate	v.掌握;控制;成为主流
preelection	n预选;adj.选举前的
preeminence	n杰出;卓越;超群
preeminent	adj.优秀的;超群的;卓越的
preemphasis	n预强调
preempt	v.以先买权获得;先占有;先发制人叫牌
preemption	n先买
preemptive	n先买的;先买权的;有先买权的
preemptor	n获优先购买权者;先取者
preen	v.(鸟)用嘴理(毛)
preengage	v.先约;预约
preengagement	n预约
preexist	v.先前存在
preexistence	n先在;前世;灵魂先在
prefabricate	v.制造组配件;合成;人工制造
prefabrication	n组合房屋配件制造
preface	n序文;绪言;前言;v.作序;写前言;以…开始
prefatory	adj.前言的;序文的
prefect	n长官;提督;地方首长
prefectorial	adj.长官的;提督的
prefectural	adj.县的;县立的;县长的
prefecture	n任期;管区;县
prefer	v.较喜欢;宁爱;提出
preferable	adj.较好的;较喜爱的;较合宜的
preferably	adv.宁可;宁愿;较好
preference	n偏爱;优先;喜爱物
preferential	adj.先取的;优先的;选择的
preferment	n昇迁;昇任;大官
prefiguration	n预示;预表;预想
prefigurative	adj.预示的
prefigure	v.预示;预表;预想
prefix	n字首
prefixal	adj.接头辞的;放在前面的
preform	v.预先形成
preformation	n预先形成
prefrontal	adj.前头叶的
preglacial	adj.冰河期前的
pregnable	adj.易攻击的;弱的;有弱点的
pregnancy	n怀孕;妊娠;丰富
pregnant	adj.怀孕的;充满的;含蓄的
preheat	v.预先加热;预热
preheater	n预热器
preheating	n预热
prehensile	adj.适於抓住的;有劲力的;有理解力的
prehistoric	n史前的
prehistory	n先史学;有史以前发生的事;史前时代史
prehuman	adj.人类存在以前的;前人类的
preignition	n早点火;早火
preindication	n前兆;预警
preinduction	adj.徵召入伍前的
prejudge	v.预先判断;未充分审问就判决;仓促决定
prejudication	n预断裁决;判例;预审
prejudice	n偏见;成见;伤害;v.使…存偏见;使…有成见;伤害
prejudiced	adj.怀偏见的;偏头的
prejudicial	adj.存有偏见的;偏心的;有害的
prelacy	nprelate 之职;prelate 群
prelate	n高位神职者
prelect	v.讲演;讲课
prelection	n讲课;讲演
prelector	n讲师
prelibation	n试尝;试毒
prelim	n预备考试
preliminary	n初步行动;准备;初步措施;adj.初步的;开始的;预备的
preliterate	adj.文字以前的
prelude	n前奏曲;序奏;序幕;开场白
prelusive	adj.前奏曲的;序幕的;序言的
premarital	adj.结婚前的
premature	adj.早熟的;过早的;不按时的;n早产儿;早发
prematurity	n早熟;过早;早开花
premed	n医学院预科
premedical	adj.医学院预科的;医学院应考课程的
premeditate	v.预先考虑
premeditated	adj.预先想过的;预谋的;有计划的
premier	n总理;首相;adj.第一的;首位的;最初的
premiere	v.初次公演;初演主角
premise	n前提;v.提论;预述
premises	n前提;v.立前提
premiss	n前提
premium	n额外费用;奖金;保险费
premolar	n小臼齿;前臼齿
premonition	n预告;预感;徵兆
premonitor	n预告者;徵兆;前兆
premonitory	adj.预告的;前兆的;前驱性的
prenatal	adj.出生以前的
prentice	n定期学徒;徒弟;adj.徒弟的;无经验的;不熟练的
preoccupation	n先取;先入成见;偏见
preoccupied	adj.被先占的;出神的;一心一意的
preoccupy	v.先占领;先取;迷住
preordain	v.预定;预先注定命运
preordination	n预定;预先注定命运
prepaid	adj.先付的;已支付的
preparation	n准备;预备;药剂
preparative	adj.准备的;预备的;n预备;准备;准备的信号
preparatory	adj.预备的;准备的;初步的
prepare	v.准备;预备;调配
preparedness	n准备;觉悟;充实军备
prepay	v.先付;预付;预缴
prepense	adj.预先考虑过的;有计划的;故意的
preponderance	n重量的优势;优势;优越
preponderant	adj.以重胜的;优势的;压倒性的
preponderate	v.以重量胜过;占优势;胜过
preposition	n介系词
prepositional	adj.前置词的;当前置词的
prepositive	n前置词;adj.前置的
prepossess	v.给…好印象;使…预先产生成见
prepossessing	adj.讨人欢喜的;有魅力的;给人好感的
preposterous	adj.前後颠倒的;不合理的;荒谬的
prepotency	n优势;优生;优生遗传
prepotent	adj.非常优势的;优生的;优先遗传的
prequisite	n临时津贴;额外补贴
pre raphaelite	adj.拉菲尔前派的;Raphael 以前的
prerecord	v.事先录音
prerequisite	n首要事物;必要条件;adj.预先非有不可的;必须的
prerogative	n特权;大权;adj.特权的;有特权的
presage	n预感;预兆;预知;v.成为…的前兆;预示;预言
presboard	n硬纸版
presbyopia	n老花眼;远视眼
presbyopic	n远视眼的人;adj.老花眼的;远视眼的
presbyter	n发起人;牧师;长老
presbyterial	adj.长老的;长老控制的;长老会制的
presbyterian	n长老教会员;长老制主义者;adj.长老会制的;长老教会的
presbyterianism	n长老会制;长老派主义
presbytery	n长老会;长老会管辖区;内室
prescaler	n预定标器
preschool	n育幼院;幼稚园;adj.未满学龄的;就学前的
prescience	n预知;先见
prescient	adj.预知的;有先见之明的;有见识的
prescientific	adj.科学以前的;近代科学以前的
prescind	v.割离;不在考虑之内;转移注意
prescribe	v.规定;命令;开药方
prescript	n命令;规定;法令;adj.规定的
prescription	n处方;命令;指示
preselection	n前置选择
preselector	n预选机
presell	v.宣传;引起购买慾
presence	n出现;存在;态度;出席
present	n礼物;现在;adj.现在的;出席的;当面的;v.赠送;提出;呈现
presentability	n漂亮;中看;适於赠送
presentable	adj.可见人的;漂亮的;有规矩的
presentation	n发表;赠与;介绍
presentative	adj.有圣职推荐权的;直觉的;表象的
present day	adj.现在的;现代的;今日的
presentee	n受赠者;被推荐者;普谒者
presenter	n赠送的;呈献者;提出者
presentiment	n预感;预觉
presently	adv.目前;不久
presentment	n陈述;演出;赠与;提示
preservable	adj.可保存的;可保管的;可贮藏的
preservation	n保存;贮藏;保护
preservative	adj.保存的;有保存力的;防腐的;n预防法;预防药;防腐剂
preserve	v.保护;保持;维持
preserving	v.保存;保留
preset	v.预先设定;预置
preshoot	n预击
preside	v.当主席;统辖;当主人
presidency	n总统职位;总裁职位;主席职位
president	n总统;总裁;董事长
presidential	adj.总统的;首长的;总统选举的
presider	n主席;主持者
presiding	adj.主持会议的;主持的;首席的
presidium	n主席团
press	n压力;杂志报纸;紧握;v.压;逼迫;推进
pressboard	n纸板
press corrector	n校对人员
presser	n压搾技工;压搾机;冲压工
pressing	n压入;adj.紧迫的;紧急的;切实的;v.压迫;按
pressman	n新闻记者;印刷工印刷厂经营者
pressor	adj.有使血压增高的
pressure	n压力;压迫
pressure cook	v.用压力锅烹饪
pressurization	n压力化
presswork	n印刷
prestidigitation	n变戏法
prestidigitator	n变戏法的人
prestige	n威信;威望;声望
prestige elite	n名流;精英
prestigious	adj.享有声望的;声望很高的
prestore	n预储存
prestress	n预力
presumable	adj.可推测的;可能有的;似真的
presumably	adv.推测上;假定上;大概
presume	v.假定;推测;占便宜
presumed	v.假定;推测;以为
presumedly	adv.推测上;大概
presuming	adj.爱管闲事的;无耻的;冒昧的
presumption	n可能性;推测
presumptive	adj.根据推定的;假定的;给与推定之根据的
presumptuous	adj.放肆的;冒昧的;冒失的
presuppose	v.预先假定;预料;预料为必要的条件
presupposition	n预想;假定;前提
presystence	n持续;固执;永恒
pretax	adj.扣除税捐前的
pretence	=pretense
pretend	v.假装;伪称;提出主张
pretender	n冒牌者;要求者;要求王位者
pretense	n藉口;虚假;伪装
pretension	n自负;骄傲;主张
pretentious	adj.自负的;自任不凡的;夸耀的
preterhuman	adj.超过凡人的;超人的;异乎常人的
pretermission	n不过问;默认;怠慢
pretermit	v.置之不问;默认;怠慢
preternatural	adj.超自然的;异常的;奇异的
pretersensual	adj.感觉不到的;超感觉的
pretersonics	n高於500百万赫频率的声纳波
pretest	n预备考试;预备调查;v.进行预备考试
pretext	n藉口;托辞
pretravel	n预行程
pretrial	n事先审理;adj.审判前的
pretrigger	n预触发
prettification	n美化
prettify	v.美化;使漂亮;粉饰
prettiness	n漂亮;可爱;隽永
pretty	adj.漂亮的;可爱的;adv.相当;颇
prettyish	adj.有点美的;可爱的
prevail	v.获胜;流行;盛行
prevailing	adj.盛行很广的;一般的;最普通的;v.获胜;盛行;流行
prevalence	n传播;流行;普及
prevalent	adj.普遍的;流行的
prevaricate	v.支吾其辞;搪塞;推诿
prevarication	n支吾;推诿;搪塞
prevaricator	n说话支吾的人;说话搪塞的人
prevenient	adj.前的;以前的;在先的
prevent	v.避免;阻止;妨碍
preventer	n妨碍者;阻扰者;妨碍物
prevention	n阻止;妨碍;预防
prevention is better than cure	n预防胜於治疗
preventive	n防止物;预防方法;预防药;adj.预防的;做预防的;妨碍的
preview	n事先查看;查阅;v.事先查看;查阅
previous	adj.早先的;前面的;过急的;adv.早先;前面
previously	adv.在先;预先
previse	v.预知
prevision	n先见;预知
prevue	n概说
prewar	adj.战前的
prexy	n学院院长
prey	n被掠食者;牺牲者;v.捕食;掠夺;使…苦恼
priam	nTroy 末代王
priapism	n持续勃起症
price	n价格;代价;价值;v.定…的价格
priceless	adj.无价的;极贵重的
pricer	n评价的人;问价而不买的客人
price tag	n价格牌
price tickets	n价格牌
pricing	adj.订价的;v.订定…的价格;订价
prick	v.刺;穿;受责备;n扎;逗点;锥
pricker	n刺的人;针;刺针
pricket	n二岁的雄鹿;烛台;烛台的钉
prickle	n刺;刺痛;柳条篮子;v.刺;扎;戳
prickly	adj.多刺的;满是针的;针刺般扎痛的
pride	n自傲;自豪;自尊;v.以…自豪
prideful	adj.自傲的;高傲的
priest	n牧师;神父;僧侣
priestcraft	n神职者的政略
priestess	n尼;尼姑;女祭司
priesthood	n神职;僧职;祭司职
priestliness	n教士气派
priestly	adj.僧的;僧侣似的
priest ridden	adj.受僧侣之支配的;在神职者之压制下的
priggery	n严格;装模作样;傲慢
priggish	adj.一本正经的;死板的;严格的
priggism	n自负;假装;矫饰
prim	adj.规规矩矩的;呆板的;拘谨的;v.弄整齐;地把嘴闭紧
primacy	n第一;首位;卓越
primage	n运费贴补
primal	adj.第一的;最初的;原始的
primaries	n原
primarily	adv.主要地;首先地;基本地
primary	n最主要者;adj.主要的;初期的;根本的
primary planets	n行星
primate	n首席主教;首席监督;灵长类的动物
primateship	n首席主教之职
primatology	n灵长类动物学
prime	n最佳部份;初期;全盛期;adj.主要的;最初的;根本的
primely	adv.最初;很好地;优越地
prime minister	n总理;首相
primer	n入门书
primes	n最优制品;最高级制品
primeval	adj.初期的;原始时代的;太古的
priming	n装雷管;装点火药;起爆剂
primipara	n初产的孕妇
primitive	n原始人;早期艺术家;adj.原始的;上古的;旧式的
primogenitor	n始祖;祖先
primogeniture	n长子继承(权);长子身份
primordial	adj.原始的;自原始时代的;最初的
primp	v.打扮;装饰
primrose	n樱草类;樱草花;樱草色;adj.樱草的;樱草色的;华美的
primula	n樱草属的植物;樱草属
prince	n王子;太子;诸侯
princedom	n王子的地位;权威;领土
princeliness	n像君主的;像王侯的;高贵的
princely	adj.王子的;像君主的;壮丽的
princes feather	n鸡冠花
princess	n公主;王妃;公爵夫人
princesse	adj.公主装的
princess of the blood	n公主;皇女
princeton	n普林斯顿
principal	n校长;首长;本金;adj.主要的;重要的;首要的
principally	adv.主要地
principalship	n校长职位;会长职位
principate	n元首统治
principium	n原理;初步
principle	n原则;原理;主义
prinipal	n头;支配者;adj.主要的;第一位的
priniple	n原理;原则
print	n版;印刷物;印迹;v.印刷;出版;印於
printable	adj.可印刷的;有出版价值的;可印晒的
printed	adj.印刷的;印好的;印花样的;v.印刷;铭记;出版
printed wiring board	n印刷电路板
printer	n印表机;列表机
printery	n花布印染工厂;印刷所;印刷工厂
printhead	n列印头
printing	n印刷;印刷术;v.印刷
printout	n印出;输出情报指示纸带
printseller	n版画商
printshop	n版画店;印刷所
printworks	n印染工厂;印花工厂
prior	adj.更重要的;较早的;在先的;adv.居先
prioress	n女修道院副院长;小女修道院院长
prioritize	v.把…区分优先次序
priority	n优先权;优先顺序;优先
priori，a	adj.由原因推及结果的;演绎的
priory	n小修道院
prism	n棱镜;棱柱
prismatic	adj.用棱镜分析的;分光的;虹色的
prismatically	adv.用棱镜分析地;分光地;成角柱形
prison	n监狱;监禁;拘留所;v.监禁
prison breach	n越狱
prisoner	n囚犯;犯人;战俘
prisoner of war	n战俘
prissy	adj.过於严谨而细心的;神经质的;为小事挂虑的
pristine	adj.原来的;古时的;原始的
prithee	int.请;求求你
privacy	n隐私;隐居;秘密
private	adj.私人的;秘密的;私立的
privateer	n私有武装船;私掠船
privateering	n以私掠船巡逻;卤获商船
private plane	n私人飞机
privation	n缺如;缺乏;穷困
privatism	n个人主义
privative	n否定字;否定词;adj.缺如的;表示缺少某性质的;剥夺的
privet	n水蜡树
privilege	n特权;特别恩典;基本人权;v.给与…特权
privileged	adj.有特权的;有特别恩典的;v.给与…特权
privily	adv.暗中;秘密地
privy	n关系人;当事人;厕所;adj.暗中参与的;隐居的;不露面的
prize	n奖;奖品;战利品;v.珍视;捕获
prizeman	n得奖人
proa	n快速帆船
probabilism	n盖然论
probability	n可能性;或然率;机率
probable	n有希望的候选人;可能的事情;adj.可能的;大概的
probably	adv.或许;可能;大概
probang	n咽喉探针
probate	n遗嘱查验;遗嘱查讫证;v.查验;受查验;付诸监护
probation	n检定;查验;证明
probation officer	n缓刑监督官
probative	adj.试用的;证明的;提供证据的
probe	n探针;调查;探测针;v.用探针测;详细调查;使
probity	n诚实;廉洁;正直
problem	n问题;难题
proboscidean	adj.长鼻类的
proboscis	n鼻子;长嘴;吻
procambium	n前形成层
procedural	adj.程序的
procedure	n程序;过程;手续
proceed	v.着手进行;继续进行;肇始
proceeding	n进行;行动;pl.诉讼程序;v.着手进行;继续进行;肇始
process	n程序;进行;过程;v.处理;对…处置
procession	n队伍;进行行列;游行
processional	n游行圣歌;adj.游行的
processor	n处理器;处理机
procesverbal	n报告书
procesverbaux	n[美]检察官的调查书
proclaim	v.宣布;公告;宣言
proclamation	n宣言;公布;文告
proclitic	n後接词;adj.後接的
proclivity	n倾向;癖性;气质
proconsul	n地方总督;殖民地总督
proconsular	adj.proconsul 的
procrastinate	v.延迟;迁延;耽搁
procrastination is the thief of time	n延宕是时间之贼
procreate	v.生;生殖;产生
procreation	n生产;生殖
procreative	adj.生产的;会生产的;有生殖力的
procreator	n生产者;父亲
procrustean	adj.Procrustes 的;用暴力使人合乎规定的
procrustes	n古代希腊的强盗
proctology	n直肠肛门学
proctor	n代理人;代书;代诉人
proctorial	adj.训导长的;代诉人的
proctorize	v.以训导长身份谴责学生
proctorship	n训导长之职
proctoscope	n直肠镜
procumbent	adj.平伏的;匍匐的
procurable	adj.可得到的;得手的
procuration	n获得;筹得;代理
procurator	n代理人;行政长官;太守
procuratorial	adj.代理人的;代诉的
procuratorship	n代理人职位
procure	v.获得;取得;促成
procurement	n采购;获得;斡旋
prod	n刺针;刺棒;签子;v.戳;刺;刺激
prodelision	n字首母音的省略
prodigal	adj.很大的;惊人的;异常的
prodigious	adj.很大的;惊人的;异常的
prodigiouss	adj.很大的;惊人的
prodigy	n惊人的事物;不凡的人;神童
prodrome	n前驱症状
produce	n生产品;农产品;v.产生;生产;提出
producer	n生产者;制作者;制作人
producibility	n可生产
producible	adj.可生产的;可上演的;可延长的
producing	v.产生
product	n产品;结果;成绩
production	n制造;生产;产物
productive	adj.能生产的;有生产价值的;多产的
productivity	n生产力
product line	n产品线
produer	v.生产;制造
produerr	n发生炉;生产者
proem	n序文;绪言;开端
prof	n教授
profanatory	adj.亵渎的;沾污神圣的
profane	adj.不敬的;卑俗的;v.不敬;卑俗
profanity	n沾污神圣不敬;亵渎;该受惩罚的言语
profess	v.声称;以…为业;伪称
professed	adj.明言的;公然的;宣誓後入宗门的
professedly	adv.明言地;公然地;表面上
profession	n职业;表白;公开宣布
professional	n专业人才;adj.专业的;职业的
professor	n教授
professorial	adj.教授的;学者气派的;装做教授的
professoriate	n教授的职位;教授会
professorship	n教授之职
proffer	v.提供;n提供;提出;提供物
proficiency	n精通;熟练;精练
proficient	n高手;名人;adj.精通的;熟练的
profile	n侧面;轮廓;人物素描;v.描绘…轮廓;评论人物;剖面
profiling	n靠模切削
profit	n利润;赢利;利益;v.有益;获利;赚钱
profitability	n收益性;利益率
profitable	adj.有利润的;有利益的;赚钱的
profitably	adv.有利地;有益地
profiteer	n获暴利的人;奸商;v.获暴利;赚大钱
profiteering	n不正当利益;暴利的获得;adj.获不正当利益的
profitless	adj.无利益的;无益的;浪费的
profligacy	n放荡;不检点;浪费
profligate	n放荡者;享乐者;adj.放荡的;不检点的;浪费的
profound	adj.极深的;深奥的;深厚的
profoundity	n深奥;深度;奥妙
profoundly	adv.深深地
profuse	adj.很多的;丰富的;浪费的
profusion	n丰富;大量;浪费
prog	n食物;掠夺得的食物;训导长;v.以训导长身份训导
progenitive	adj.繁殖的;有生殖力的
progenitor	n祖先;先辈;原着
progenitress	nprogenitor 的女性
progeny	v.子孙;结果
progestational	adj.怀孕前的;妊娠前的
proggins	n训导长;v.以训导长身份训导
proglottis	n节片
prognathous	adj.下巴突出的
prognosis	n预知;预测;预後
prognostic	adj.表示预兆的;预後的;n前兆;预测;预言
prognosticate	v.预知;预言;预测
prognostication	n预知;预言;预测
prognosticator	n预言者;占卜者
program	n节目;程式;计划;v.规划;拟…计划;制作节目
programmable	adj.可设计的;可程式的;可规划的
programmatic	adj.标题音乐的;节目的
programme	=program
programmer	n程式师;程式规划员;程式设计者
programming	n规画;设计;程式规划;v.规画;设计
progress	n进步;发展;前进;v.促进;进步;进行
progression	n前进
progressional	adj.前进的;进步的;级数的
progressionist	n进步论者;社会进步论者
progressive	n改革论者;进步论者;adj.前进的;累进的;进步的
progressivism	n进步主义;革新论
prohibit	v.禁止;阻止
prohibition	n禁止;禁令
prohibition law	n禁酒法
prohibitive	adj.禁止的;禁制的;类同禁止的
project	n计画;设计;事业;项目;v.计画;放映;表达
project division	n计画部门
projectile	n发射体;抛射物;adj.发射的;投射的
projecting	adj.突出的;伸出的
projection	n发射;计画;突出部分
projectionist	n放映师;电视技师;地图制作者
projector	n投光器
prolactin	n泌乳刺激素
prolan	n生殖腺荷尔蒙之一种
prolate	adj.扁长的;扩展的
prolative	adj.补足宾辞的
prole	n穷人
proleg	n前脚;幼虫的腹脚
prolepsis	n预期;预料;预辩法
proleptic	adj.预期的;预料的;预辩法的
proletarian	n普罗;无产者;adj.普罗阶级的;无产阶级的
proliferate	v.增殖
proliferation	n增殖;分芽繁殖
prolific	adj.生子的;结果实的;多产的
prolificacy	n出产力;生产力;多产
prolifically	adv.多产地;丰富地
proline	n比咯氨酸
prolix	adj.冗长的;说话罗说的
prolixity	n冗长;罗说
prolocutor	n议长;代辩者
prologue	n开场白;序言;序幕;v.说开场的;加上…前言;
prolong	v.延长;拖延
prolongation	n延伸;延长;延长部份
prolusion	n序幕;序乐;开场白
promenade	n散步;骑马;舞会;v.漫步;骑马
promethean	adj.Prometheus 的;独创性的
prometheus	n普罗美修士
prominence	n突起;突出;突出物
prominent	adj.卓越的;显着的;突出的
promiscuity	n混乱;杂乱;放荡
promiscuous	adj.杂乱的;混杂的;混淆的;adv.偶然地;胡乱地
promise	n诺言;约定;希望;v.允诺;约定;预示
promisee	n受约人
promiser	n立约人
promises	n承诺;v.允诺
promises are like piecrust， made to be broken	n诺言如同馅饼皮，本来就是要食用的
promising	adj.有希望的;前途有望的;v.允诺;约定;预示
promisor	n契约者
promissory	adj.约定的;约好的;约定支付的
promontoried	adj.形成海峡的;有海峡的
promontory	n山甲;隆起;突起
promote	v.促进;升迁;创办;促销
promoter	n促进者;助长者
promotion	n晋级;筹办;增进
promotional	adj.增进的;奖励的
promotive	adj.增进的;助长的;奖励的
prompt	n提示;adj.迅速的;敏捷的;立刻的;v.激励;鼓动;提示
promptbook	n提词者所用剧本
prompter	n提示台词者;激励者;唤起者
prompting	n刺激;激励;暗示
promptitude	n敏捷;迅速;机敏
promptly	adv.敏捷地;迅速地
promptness	n敏捷;机敏
promulgate	v.发布;公布;发表
promulgation	n发布;公布;普及
promulgator	n发布者;广传者
pronate	v.将手掌向下或向後旋转;旋前
pronation	n内转
pronator	n旋前筋;前旋肌
prone	adj.俯伏的;平俯的;有…倾向的
proneness	n俯伏;前屈;倾向
prong	n叉状物;耙子;乾草耙;梢;v.刺;贯穿;翻掘
pronged	adj.尖端分叉的
pronghorn	n糜鹿
pronominal	adj.代名词的;代名词性质的
pronoun	n[文]代名词
pronounce	v.发音;宣告;断言
pronounceable	adj.可发音的;可断言的
pronounced	adj.显着的;断然的;明白的;v.发音;宣告;断言
pronouncement	n宣言;宣告;发表
pronouncing	adj.发音的;表示发音的;v.发音
pronto	adv.很快地;急速地
pronucleus	n前核;生殖核
pronunciamento	n宣言;军事革命
pronunciation	n发音;读法
proof	n证据;证明;试验;adj.不能透入的;防…的;有耐力的
proofless	adj.无证据的
proofread	v.校正;校对
proofreader	n校对者
prop	n支柱;支持者;倚靠人;v.支撑;维持
propaedeutic	n预备教育;adj.预备的;入门的
propagable	adj.可推广的;传播可能的
propaganda	n宣传;宣传活动;宣传机关
propagandist	n宣传者;传道者;adj.宣传的;传道的
propagandize	v.宣传;传教;传道
propagate	v.繁殖;传播;传送
propagation	n增殖;繁殖;广传
propagator	n增殖者;宣传者;传教者
propane	n丙烷
proparoxytone	adj.在语尾算起第三音节读重音的
propel	v.推进;驱使
propellant	n使推进之物;发射火药;推进燃料
propeller	n螺旋桨;推进器;螺旋浆
propensity	n倾向;爱好;习性
proper	adj.适当的;高尚的;专属的;adv.完全地;彻底地
properly	adv.适当地;相当地;当然地
property	n财产;所有权;性质
prophase	n前期
prophecy	n预言;预言能力
prophesy	v.预言;预报
prophet	n预言家;先知;提倡者
prophetess	n女预言家;女先知
prophetic	(=-al) adj.预言的;先知的;预示的
prophylactic	n预防药;预防法;避孕药;adj.预防疾病的
prophylaxis	n预防
propinquity	n接近;亲近;类似
propitiate	v.慰抚;安抚;和解
propitiator	n安抚人;和解者;赎罪的人
propitious	adj.顺利的;适合的;吉祥的
propjet	n喷射推进
proponent	n建议者;支持者
proportion	n比例;均衡;部份;v.比例;均衡
proportional	n比例项;adj.比例的;相称的;调和的
proportionality	n比例;均整
proportionate	adj.相称的;成比例的;适当的;v.使相称;使成比例;使适应
proportioned	adj.按比例的
proportionment	n比例;相称;调和
proposal	n提议;计划;求婚
propose	v.计画;打算;向…提议
proposer	n申请人;提案人
proposition	n建议;命题;主张;v.向…提议;向…调情
propound	v.提出;提议
proprietor	n所有者;经营者
proprietorship	n所有权
propriety	n礼貌;规矩;适当
proprioceptor	n本体刺激受器;自受器;字感器
propulsion	n推进
propulsive	adj.推进的;有推进力的
propyl	n丙烷基;丙基
propylaeum	n入口
propylene	n丙烯
prorate	v.比例分配;分派
prorogation	n休会
prorogue	v.休会
prosaic	adj.散文的;散文体的;散文性的
prosaically	adv.散文式地;平凡地
prosaism	n散文体;散文式表现;平凡
proscenium	n前舞台;幕装置;舞台
proscribe	v.剥夺人权;放逐;排斥
proscription	n剥夺人权;处罚的宣告;放逐
proscriptive	adj.剥夺人权的;放逐的
prose	n散文
prosecute	v.进行;实行;起诉
prosecution	n实行;经营;起诉
prosecutor	n检察官;实行者;告发者
proselyte	n改信仰者;改依犹太教的人;v.使改宗教信仰;使变节;以好条件劝诱
proselytism	n劝诱改信仰;改信宗教;变节
proselytize	v.使改宗;劝诱改宗
proseminar	n研讨会
prosenchyma	n纺锤组织
proser	n散文家;写平凡琐事的人;唠唠叨叨的人
prosily	adv.散文体;无趣味地
prosiness	n散文体;没趣;平凡
proslavery	n支持奴隶制度
prosodist	n诗体学者;韵律学者
prosody	n诗体论;韵律学;作诗法
prosopopoeia	n拟人法;拟声法
prospect	n景色;希望;展望;v.探勘;寻找
prospective	adj.有希望的;预期的;将来的
prospector	n采矿者;探勘者
prospectus	n创立计划书;内容说明书;样张
prosper	v.兴隆;成功;使…昌盛
prosperity	n繁荣;成功;幸运
prosperous	adj.成功的;繁盛的;顺列的
prosperous weather	n美好的天气
prostate	nadj.前列腺(的)
prostatitis	n前列腺炎
prosthesis	n弥补;添字首音
prosthetics	n弥补科
prosthodontia	n镶牙学
prostitute	n妓女;男娼
prostrate	adj.倒下的;降伏的;伏地的;v.弄倒;使…屈服;俯
prostration	n平伏;跪倒;疲劳
prostyle	nadj.前柱式(构造)(的)
prosy	adj.散文的;散文体的;无趣味的
protactinium	n金朴
protagonist	n主演;主角;主唱者
protasis	n条件子句
protean	adj.[P-] Proteus 的;千变万化的;变化不定的;多样性的
protect	v.保护;防御;警戒
protectant	n杀虫撒布剂
protection	n保护;防御;保护制度
protectionism	n保护贸易主义;保护贸易论;保护政策
protectionist	n保护贸易论者;adj.保护贸易论的
protective	adj.给予保护的;保护的
protector	n保护者;保护物;保护装置
protectorate	n摄政;摄政政治;护民官之职
protectress	nprotector 女性
protege	n被保护者;党羽
protein	nadj.蛋白质(的)
proteinic	adj.蛋白质的
proterozoic	n原生地;adj.原生代的
protest	n抗议;反对;v.反对;抗议;断言
protestant	n新教;新教徒;adj.新教的
protestantism	n新教;新教教义;新教徒
protestantize	v.使改信新教;使新教化;成为新教徒
protestation	n主张;断言;明言
proteus	n海神;容易变形态之物;容易变身姿的人
prothallium	n原叶体
prothallus	n原叶体
prothorax	n前胸
prothrombin	n凝血素
protist	n原生生物
protocol	n记录;报告书;协定
protomartyr	n最初的殉教者
proton	n质子
protonema	n原丝体;丝状体
protonotary	n首席书记官
protoplasm	n[生]原形质
protoplasmic	adj.原形质的
protoplast	n原生物;原物;原人
prototype	n原型;原尺;初型;v.设计原型
protozoa	n原生动物类
protozoan	n原生动物
protozoology	n原生动物学
protract	v.延长;托长;伸出
protracted	adj.拖延的
protractile	adj.伸出;突出
protraction	n拖长;伸长;制图
protractor	n分度器;伸肌;伤处异物摘出器
protrude	v.凸出;伸出;吐出
protrudent	adj.突出的
protrusile	adj.能自由伸出的
protrusion	n推出;突出;露出
protrusive	adj.推出的;突出的;押住的
protuberance	n突起;瘤;结节
protuberant	adj.突起的;凸出的;显着的
proud	adj.骄傲的;自大的
proudly	adv.傲慢地;自大地;得意洋洋地
provable	adj.可证明的;可查明的
prove	v.证明;查验;显示
proven	v.证明
provenance	n起源;出处
provencal	adj.Provence 的;Provence 人的;nProvence 人;Provence 语
provence	n法国东南部的古时州名
provender	n粮草;秣;食物
proverb	n谚语;格言;箴言
proverbial	adj.谚语的;谚语式的;闻名的
proverbially	adv.如谚语所说;广泛地;一般所知地
provide	v.提供;供应;预备
provided	v.提供;供给;conj.倘若
providence	n上帝;神的眷顾;深谋远虑
